#
#"Frequency / GHz"	"VSWR1 [Magnitude]"
#-------------------------------------
2.5000000000000	1.3043850127284
2.5030000209808	1.3053610147978
2.5060000419617	1.3062953592245
2.5090000629425	1.3071864202659
2.5120000839233	1.3080328441846
2.5150001049042	1.3088331621159
2.5179998874664	1.3095858462299
2.5209999084473	1.3102896719707
2.5239999294281	1.3109432276197
2.5269999504089	1.3115452855328
2.5299999713898	1.3120945051016
2.5329999923706	1.3125898499060
2.5360000133514	1.3130301443084
2.5390000343323	1.3134143527046
2.5420000553131	1.3137414992479
2.5450000762939	1.3140108177368
2.5480000972748	1.3142213816981
2.5510001182556	1.3143726226643
2.5539999008179	1.3144638541370
2.5569999217987	1.3144945084906
2.5599999427795	1.3144642532256
2.5629999637604	1.3143727732605
2.5659999847412	1.3142198317763
2.5690000057220	1.3140053235699
2.5720000267029	1.3137292999787
2.5750000476837	1.3133917653792
2.5780000686646	1.3129929548732
2.5810000896454	1.3125332430650
2.5840001106262	1.3120130314896
2.5869998931885	1.3114328961018
2.5899999141693	1.3107933448733
2.5929999351501	1.3100953316654
2.5959999561310	1.3093395301671
2.5989999771118	1.3085269327849
2.6019999980927	1.3076585916343
2.6050000190735	1.3067356362676
2.6080000400543	1.3057593400505
2.6110000610352	1.3047309422998
2.6140000820160	1.3036518410487
2.6170001029968	1.3025235637431
2.6199998855591	1.3013476183375
2.6229999065399	1.3001256219776
2.6259999275208	1.2988592220039
2.6289999485016	1.2975502340299
2.6319999694824	1.2962003504515
2.6349999904633	1.2948113939712
2.6380000114441	1.2933853584899
2.6410000324249	1.2919240213605
2.6440000534058	1.2904293589729
2.6470000743866	1.2889033167133
2.6500000953674	1.2873478379325
2.6530001163483	1.2857649064058
2.6559998989105	1.2841564653477
2.6589999198914	1.2825245424714
2.6619999408722	1.2808709912597
2.6649999618530	1.2791977723752
2.6679999828339	1.2775068261851
2.6710000038147	1.2757999748635
2.6740000247955	1.2740790970033
2.6770000457764	1.2723459210353
2.6800000667572	1.2706022122234
2.6830000877380	1.2688496717575
2.6860001087189	1.2670899152329
2.6889998912811	1.2653244022247
2.6919999122620	1.2635547555484
2.6949999332428	1.2617823184248
2.6979999542236	1.2600084198178
2.7009999752045	1.2582343218233
2.7039999961853	1.2564612098854
2.7070000171661	1.2546900825535
2.7100000381470	1.2529220413919
2.7130000591278	1.2511579128077
2.7160000801086	1.2493985431798
2.7190001010895	1.2476446012506
2.7219998836517	1.2458967942950
2.7249999046326	1.2441555682828
2.7279999256134	1.2424214139277
2.7309999465942	1.2406947002865
2.7339999675751	1.2389756655862
2.7369999885559	1.2372644960385
2.7400000095367	1.2355612842708
2.7430000305176	1.2338660666712
2.7460000514984	1.2321788224911
2.7490000724792	1.2304993846342
2.7520000934601	1.2288275907880
2.7550001144409	1.2271631766450
2.7579998970032	1.2255058556703
2.7609999179840	1.2238553003445
2.7639999389648	1.2222110355218
2.7669999599457	1.2205726932825
2.7699999809265	1.2189397435794
2.7730000019073	1.2173117670397
2.7760000228882	1.2156881953985
2.7790000438690	1.2140684967933
2.7820000648499	1.2124521944266
2.7850000858307	1.2108387029463
2.7880001068115	1.2092275173782
2.7909998893738	1.2076181281184
2.7939999103546	1.2060099845346
2.7969999313354	1.2044026772136
2.7999999523163	1.2027957104513
2.8029999732971	1.2011886823627
2.8059999942780	1.1995812306643
2.8090000152588	1.1979730199608
2.8120000362396	1.1963637254422
2.8150000572205	1.1947531689765
2.8180000782013	1.1931411950044
2.8210000991821	1.1915275915561
2.8239998817444	1.1899124309897
2.8269999027252	1.1882956320087
2.8299999237061	1.1866773070698
2.8329999446869	1.1850575977250
2.8359999656677	1.1834367042171
2.8389999866486	1.1818149298599
2.8420000076294	1.1801926431512
2.8450000286102	1.1785702248307
2.8480000495911	1.1769482098036
2.8510000705719	1.1753271183314
2.8540000915527	1.1737075805946
2.8570001125336	1.1720903233893
2.8599998950958	1.1704760368310
2.8629999160767	1.1688655497384
2.8659999370575	1.1672597937598
2.8689999580383	1.1656595614479
2.8719999790192	1.1640658922879
2.8750000000000	1.1624797411289
2.8780000209808	1.1609022123456
2.8810000419617	1.1593342879996
2.8840000629425	1.1577771299924
2.8870000839233	1.1562318315102
2.8900001049042	1.1546994821636
2.8929998874664	1.1531813140401
2.8959999084473	1.1516783715739
2.8989999294281	1.1501918371782
2.9019999504089	1.1487228132204
2.9049999713898	1.1472724422714
2.9079999923706	1.1458417513996
2.9110000133514	1.1444317762851
2.9140000343323	1.1430435590786
2.9170000553131	1.1416780322756
2.9200000762939	1.1403361156389
2.9230000972748	1.1390186180396
2.9260001182556	1.1377263401313
2.9289999008179	1.1364599714845
2.9319999217987	1.1352201620221
2.9349999427795	1.1340074157912
2.9379999637604	1.1328222482868
2.9409999847412	1.1316649898319
2.9440000057220	1.1305359189584
2.9470000267029	1.1294352378448
2.9500000476837	1.1283629960464
2.9530000686646	1.1273192220684
2.9560000896454	1.1263037561139
2.9590001106262	1.1253164243602
2.9619998931885	1.1243569173047
2.9649999141693	1.1234248451003
2.9679999351501	1.1225196637261
2.9709999561310	1.1216408638806
2.9739999771118	1.1207877461224
2.9769999980927	1.1199595812157
2.9800000190735	1.1191555639206
2.9830000400543	1.1183748177948
2.9860000610352	1.1176164250238
2.9890000820160	1.1168793913712
2.9920001029968	1.1161627004666
2.9949998855591	1.1154653057612
2.9979999065399	1.1147860895683
3.0009999275208	1.1141239871467
3.0039999485016	1.1134778962443
3.0069999694824	1.1128466865642
3.0099999904633	1.1122292828475
3.0130000114441	1.1116246000805
3.0160000324249	1.1110315658679
3.0190000534058	1.1104491940959
3.0220000743866	1.1098765095319
3.0250000953674	1.1093125594411
3.0280001163483	1.1087565111699
3.0309998989105	1.1082075348068
3.0339999198914	1.1076648871864
3.0369999408722	1.1071279157962
